,Long_Only,Short_Only,Long_Short,Num Long,Num Short,1,1
3/31/13,0.010080917,-0.01328583,0.005051303,175,48,4.070830383,
4/30/13,0.034521776,-0.02363707,0.011964841,131,83,4.21136268,
5/31/13,-0.006791918,0.009665151,-0.000132546,128,87,4.182759451,
6/30/13,0.055867318,-0.064159294,-0.024533283,69,140,4.416439003,
7/31/13,-0.024115693,0.022143313,-0.000874453,103,104,4.309933516,
8/31/13,0.043121161,-0.046807714,-0.0248251,55,170,4.495782855,
9/30/13,0.042497697,-0.041638907,0.001063591,101,98,4.686843271,
10/31/13,0.03707838,-0.018070102,0.009096638,100,103,4.860623827,
11/30/13,0.028369312,-0.030657645,0.010977441,158,66,4.998516381,
12/31/13,-0.016737794,0.030281892,0.002834994,122,87,4.914852245,
1/31/14,0.046049328,-0.060130123,-0.030348082,69,177,5.141177886,
2/28/14,-0.001247438,-0.01025064,-0.006154762,106,127,5.134764587,
3/31/14,-0.003228748,-0.00183611,-0.002292422,77,158,5.118185725,
4/30/14,0.027128046,-0.028602227,-0.003591568,92,113,5.257032103,
5/31/14,0.021877515,-0.029276036,-0.014298645,65,157,5.372042902,
6/30/14,-0.024259786,0.019355759,-0.000218047,92,113,5.241718291,
7/31/14,0.043134767,-0.047261019,-0.017278258,67,135,5.467818587,
8/31/14,-0.014131469,0.017302554,0.002249641,102,111,5.390550278,
9/30/14,0.05585924,-0.041704715,-0.023766947,41,182,5.691662319,
10/31/14,0.024474927,-0.036199993,0.003923744,123,63,5.830965341,
11/30/14,0.002263656,-0.013239074,-0.005092231,103,93,5.844164638,
12/31/14,-0.0213191,0.028049519,-0.00695732,156,64,5.719572306,
1/31/15,0.062732363,-0.070640926,-0.021532769,88,151,6.078374592,
2/28/15,-0.002851008,0.001425801,-0.000934429,133,108,6.061045097,
3/31/15,-0.001122613,0.00070551,-0.000141669,114,132,6.054240892,
4/30/15,0.011416145,-0.016132372,0.000116949,151,105,6.123356984,
5/31/15,-0.02209337,0.017315667,0.004989492,71,156,5.988071394,
6/30/15,0.022814071,-0.018753331,-0.008103831,62,180,6.124683679,
7/31/15,-0.050480502,0.046371073,0.000586692,104,116,5.815506571,
8/31/15,-0.026662932,0.031090887,0.020871076,43,200,5.660448113,
9/30/15,0.08409268,-0.06866293,-0.047112346,34,207,6.136450366,
10/31/15,0.000638767,-0.009891988,-0.00642674,77,157,6.140370126,
11/30/15,-0.035017652,0.032215083,-0.010685805,134,76,5.92534878,
12/31/15,-0.053442756,0.058818564,-0.018119151,159,73,5.608681809,
1/31/16,0.005302882,-0.019948602,-0.014753321,43,166,5.638423988,
2/29/16,0.075518587,-0.076711293,-0.038304672,55,163,6.064229798,
3/31/16,0.016566273,-0.008940988,0.006383939,149,99,6.164691483,
4/30/16,0.026138238,-0.018219513,0.020292642,224,34,6.325825653,
5/31/16,-0.007639767,-0.016527404,-0.009043078,224,42,6.277497821,
6/30/16,0.058819372,-0.04501797,0.01373877,116,89,6.646736299,
7/31/16,0.011959739,-0.004891286,0.006763388,157,70,6.726229533,
8/31/16,0.005432491,0.000239936,0.002695111,87,97,6.762769714,
9/30/16,-0.013765518,0.020372952,0.000814454,110,82,6.669676683,
10/31/16,0.066576672,-0.049318095,-0.021051079,50,155,7.11372156,
11/30/16,0.016710104,-0.013258547,0.00523885,129,80,7.23259259,
12/31/16,0.027671024,-0.021628317,0.004851242,123,106,7.432725834,
1/31/17,0.033113964,-0.048172813,0.010881683,170,64,7.678852851,
2/28/17,0.003214554,-0.002376214,0.001367384,152,75,7.70353694,
3/31/17,0.005823724,-0.013705256,-0.003520788,97,89,7.748400217,
4/30/17,0.015046377,-0.017616414,-0.002411322,81,93,7.864985566,
5/31/17,0.004239669,-0.019134959,-0.01049651,85,145,7.898330498,
6/30/17,0.006214453,-0.023558096,-0.009923938,98,116,7.947414301,
7/31/17,0.00185015,0.003765893,0.002906815,100,123,7.96211821,
8/31/17,0.034229763,-0.036948019,-0.009518532,79,126,8.23465963,
9/30/17,0.014337649,-0.018183701,-0.001582845,122,117,8.352725286,
10/31/17,0.032608398,-0.044861429,-0.000129897,138,101,8.625094273,
11/30/17,0.009092648,-0.015795141,0.001657292,169,72,8.70351922,
12/31/17,0.055582718,-0.056100638,0.011757604,144,93,9.187284474,
1/31/18,-0.045081609,0.027811522,-0.021983785,166,77,8.773106911,
2/28/18,-0.018282828,0.004425405,-0.002515976,70,159,8.612709709,
3/31/18,0.019873411,-0.002242888,0.003549476,66,186,8.783873625,
4/30/18,0.00955063,-0.029721119,-0.024674147,32,217,8.86776515,
5/31/18,0.0088861,-0.016200115,-0.006485878,91,144,8.946565,
6/30/18,0.033737339,-0.029109803,0.000699118,120,133,9.248398297,
7/31/18,0.0113056,-0.026570272,-0.004021601,153,104,9.352956989,
8/31/18,-0.008709391,-0.014938139,-0.011088612,144,89,9.271498433,
9/30/18,-0.06772645,0.061031432,-0.01090617,138,109,8.643572758,
10/31/18,0.049532334,-0.024488708,-0.009497105,48,189,9.071709095,
11/30/18,-0.093104173,0.093273274,0.038703301,65,157,8.22709512,
